Age,islamabad
0,32032
1,32031
2,32032
3,32032
4,32032
5,33872
6,33871
7,33872
8,33871
9,33871
10,28028
11,28028
12,28028
13,28028
14,28028
15,22444
16,22444
17,22445
18,22444
19,22444
20,19414
21,19414
22,19414
23,19414
24,19414
25,15951
26,15951
27,15951
28,15951
29,15952
30,13462
31,13463
32,13462
33,13463
34,13462
35,10324
36,10324
37,10324
38,10324
39,10324
40,9610
41,9610
42,9609
43,9610
44,9610
45,7641
46,7640
47,7641
48,7640
49,7640
50,6948
51,6948
52,6948
53,6947
54,6948
55,4654
56,4654
57,4654
58,4654
59,4654
60,4416
61,4415
62,4416
63,4416
64,4416
65,2598
66,2598
67,2598
68,2598
69,2598
70,2359
71,2360
72,2360
73,2360
74,2360
75,504
76,504
77,504
78,504
79,504
80,504
81,504
82,504
83,504
84,504
85,504
86,504
87,504
88,504
89,504
90+,5544
