"age","school","office","shopping","supermarket","leisure","park","hospital","place_of_worship"
0,0,0,0,0,0,840,90,0
1,0,0,0,0,0,840,90,0,
2,0,0,0,0,420,840,90,0,
3,1680,0,120,90,420,840,90,0
4,1680,0,120,90,420,840,90,0
5,1680,0,120,90,420,840,90,525
6,2240,0,120,90,420,840,90,525
7,2240,0,120,90,420,840,90,525
8,2240,0,120,90,420,840,90,525
9,2520,0,120,90,420,840,90,525
10,2520,0,120,90,420,840,90,525
11,2520,0,120,90,420,840,90,525
12,2520,0,120,90,420,840,90,525
13,2520,0,120,90,420,840,90,525
14,2520,0,120,90,420,840,90,525
15,2520,0,120,90,420,840,90,525
16,2520,0,120,90,600,420,90,525
17,2520,0,120,90,600,420,90,525
18,2940,1680,120,90,600,420,90,525
19,2940,1680,120,90,600,420,90,525
20,2940,1680,120,90,600,420,90,525
21,2940,1680,120,90,600,420,90,525
22,2940,2940,120,90,600,420,90,525
23,1680,2940,120,90,600,420,90,525
24,1680,3220,120,90,600,420,90,525
25,1680,3220,120,90,600,420,90,525
26,1680,3220,120,90,600,420,90,525
27,0,3220,120,90,600,420,90,525
28,0,3220,120,90,600,420,90,525
29,0,3220,120,90,600,420,90,525
30,0,3220,120,90,600,420,90,525
31,0,3220,120,90,600,420,90,525
32,0,3220,120,90,600,420,90,525
33,0,3220,120,90,600,420,90,525
34,0,3220,120,90,600,420,90,525
35,0,3220,120,90,600,420,90,525
36,0,3220,120,90,600,420,90,525
37,0,3220,120,90,600,420,90,525
38,0,3220,120,90,600,420,90,525
39,0,3220,120,90,600,420,90,525
40,0,3220,120,90,600,420,90,525
41,0,3220,120,90,600,420,90,525
42,0,3220,120,90,600,420,90,525
43,0,3220,120,90,600,420,90,525
44,0,3220,120,90,600,420,90,525
45,0,3220,120,90,600,420,90,525
46,0,3220,120,90,600,420,90,525
47,0,3220,120,90,600,420,90,525
48,0,3220,120,90,600,420,90,525
49,0,3220,120,90,600,420,90,525
50,0,3220,120,90,600,420,90,525
51,0,3220,120,90,600,420,90,525
52,0,3220,120,90,600,420,90,525
53,0,3220,120,90,600,420,90,525
54,0,3220,120,90,600,420,90,525
55,0,3220,120,90,600,420,90,525
56,0,3220,120,90,600,420,90,525
57,0,3220,120,90,600,420,90,525
58,0,3220,120,90,600,420,90,525
59,0,2520,120,90,600,420,90,525
60,0,2520,120,90,600,420,90,525
61,0,2520,120,90,600,420,90,525
62,0,2520,120,90,600,420,90,525
63,0,2520,120,90,600,420,90,525
64,0,2520,120,90,600,420,90,525
65,0,1680,120,90,120,210,90,525
66,0,1680,120,90,120,210,90,525
67,0,1680,120,90,120,210,90,525
68,0,1680,120,90,120,210,90,525
69,0,1680,120,90,120,210,90,525
70,0,1680,120,90,120,210,90,525
71,0,1680,120,90,120,210,90,525
72,0,1680,120,90,120,210,90,525
73,0,1680,120,90,120,210,90,525
74,0,1680,120,90,120,210,90,525
75,0,0,120,90,120,210,90,525
76,0,0,120,90,120,210,90,525
77,0,0,120,90,120,210,90,525
78,0,0,120,90,120,210,90,525
79,0,0,120,90,120,210,90,315
80,0,0,120,90,120,210,90,315
81,0,0,120,90,120,210,90,315
82,0,0,120,90,120,210,90,315
83,0,0,120,90,120,210,90,315
84,0,0,120,90,120,210,90,315
85,0,0,120,90,120,210,90,315
86,0,0,120,90,120,210,90,315
87,0,0,120,90,120,210,90,315
88,0,0,120,90,120,210,90,315
89,0,0,120,90,120,210,90,315
90,0,0,120,90,120,210,90,315
91,0,0,120,90,120,210,90,315
92,0,0,120,90,120,210,90,315
93,0,0,120,90,120,210,90,315
94,0,0,120,90,120,210,90,315
95,0,0,120,90,120,210,90,315
96,0,0,120,90,120,210,90,315
97,0,0,120,90,120,210,90,315
98,0,0,120,90,120,210,90,315
99,0,0,120,90,120,210,90,315
100,0,0,120,90,120,210,90,315
101,0,0,120,90,120,210,90,315
102,0,0,120,90,120,210,90,315
103,0,0,120,90,120,210,90,315
104,0,0,120,90,120,210,90,315
105,0,0,120,90,120,210,90,315
106,0,0,120,90,120,210,90,315
107,0,0,120,90,120,210,90,315
108,0,0,120,90,120,210,90,315
109,0,0,120,90,120,210,90,315
110,0,0,120,90,120,210,90,315
111,0,0,120,90,120,210,90,315
112,0,0,120,90,120,210,90,315
113,0,0,120,90,120,210,90,315
114,0,0,120,90,120,210,90,315
115,0,0,120,90,120,210,90,315
116,0,0,120,90,120,210,90,315
117,0,0,120,90,120,210,90,315
118,0,0,120,90,120,210,90,315
119,0,0,120,90,120,210,90,315
